name_server,key,Price,value_avg_mean_cpu
SWPAFRSVNSV11,1#4,445.3,36.30882357119792
SWPAFRBHESBO1,8#32,3555.1,30.45014920134328
SLTCFRM32758,1#2,332.15,25.771220312469833
SLTCFRM32590,1#2,332.15,26.306485915795196
SLUDFRORAAJR1,1#6,547.5,33.72643844086215
SLPDFRORAAJR1,2#8,689.85,30.08363822337163
SLDDFRORAAJR1,1#6,547.5,33.87561778713808
SLTCFRQ84528,4#8,916.15,79.32292574563772
SWUAFRQ75AP6,12#32,5286.66,36.4778388388579
SWPCFRQ38816,4#32,2273.95,49.93259176824256
SLUCFRFDC421,2#8,689.85,23.193723181496622
SLUAFRDACS001,2#4,470.85,66.99926542638354
SLTCFRCAY801,1#2,332.15,27.321541794888383
SLTCFROTD444,1#8,667.95,24.15988634102324
SLTCFRKIS435,2#8,689.85,33.29888490060862
SLPCFRM29716,2#16,1135.15,61.83462579481329
SLUCFRFDC050,2#8,689.85,24.29437259912806
SLTCFRDSD186,2#4,470.85,55.16769119226521
SLDCFRARM520,1#2,332.15,23.435997382671733
SLDCFRFLA505,2#8,689.85,26.402086896060844
SWPCFRAIC867,4#32,2273.95,29.886270834464423
SLTCFRAJE451,2#8,689.85,36.91205593355664
SLUCFRM32722,2#64,3803.3,22.995371008560667
SLUCFRFBL273,2#8,689.85,24.415303056114045
SLPCFROTD261,4#16,1383.35,68.63347640522315
SWPCFRAKH062,2#32,2025.75,20.14799608727255
SLDCFRS68151,1#8,667.95,40.406394787129514
SWPCFRAIC928,4#16,1383.35,27.456074084923205
SWBCFRAIC778,4#8,916.15,46.48090850267591
SLPCFRPZM500,4#64,4051.5,40.75711001750791
SWDCFRARQ736,2#4,470.85,56.55270436926131
SWPAFRETRADM18,2#8,689.85,27.132509107673098
SWUCFRIKS910,2#8,689.85,24.526453115588613
SLUCFRN02277,2#8,689.85,24.505862303815434
SWPCFRAIC889,4#8,916.15,59.88941952114774
SLTCFRPFO333,1#2,332.15,24.683715466946573
SLUCFRFW8102,2#8,689.85,35.705273153871566
SLDCFRFLA075,2#8,689.85,25.213189729051763
SLTCFRAJE024,1#8,667.95,28.327313564944752
SWDCFREL0488,2#4,470.85,62.284645351928624
SWPCFRFTB870,2#4,470.85,22.37931951101273
SLDCFRFKH695,1#8,667.95,34.95744872104546
SLTCFRDSD160,1#2,332.15,36.0448842329441
SLDCFRP42513,1#2,332.15,32.764312838762116
SWTCFRP58064,8#16,2664.5,20.816194669037507
SWPCFRAKK433,8#16,2664.5,32.64285926379167
SLUCFRFDC211,2#8,689.85,25.69305986369611
SWUCFRV69635,2#16,1135.15,31.66200940258003
SLUCFRAZ8548,2#8,689.85,23.616953218061784
SWDCFREDR189,2#4,470.85,21.30709166312645
SWPCFRAIC799,4#32,2273.95,20.39138281074594
SLDCFRGY1411,2#8,689.85,23.89147734960028
SLDCFRFLA053,2#8,689.85,28.878873983762073
SWDCFREL0920,2#4,470.85,63.03845871595991
SLTCFROTD591,1#4,445.3,27.974612893219824
SLTCFRAJE713,2#4,470.85,32.36772267135754
SLTCFRCAY429,1#2,332.15,29.980791197572636
SLDCFRNXQ435091,2#8,689.85,20.20947161170857
SWDCFRBDZ388,8#32,3555.1,28.136135031397593
SWUCFRU81538,2#8,689.85,24.38158041064225
SWBCFRKOS740,4#16,1383.35,27.71014953784419
SWPCFRAUH358,2#4,470.85,36.57579823863688
SLDCFRCJ4843,2#16,1135.15,30.288465105929227
SWDCFRY88936,4#16,1383.35,20.177858447643786
SLTCFRK76508,1#2,332.15,26.849708060757887
SLBCFRQ84190,2#16,1135.15,56.47141419325743
SLTCFRPFO731,2#4,470.85,32.35959234238063
SWTCFRP58672,8#16,2664.5,20.011961041228492
SWBCFRV96686,2#64,3803.3,23.49354036113122
SLDCFRCWO515,1#2,332.15,32.04731109799238
SLUCFRM31826,2#16,1135.15,32.408839478598935
SWBCFRZ27954,4#16,1383.35,30.81081657449368
SWUCFRU99335,4#8,916.15,29.02730259248074
SWBCFRAUH609,2#4,470.85,48.53129176832159
SLUCFRCJ4988,2#8,689.85,43.258934063554946
SLDCFRFDC526,2#8,689.85,24.919081448807045
SWUCFRDM2167,2#4,470.85,57.15405901443711
SWTCFRAIC885,2#16,1135.15,26.986121326838205
SLPCFRQ84189,8#32,3555.1,47.26218350241124
SWPCFRAKK616,2#16,1135.15,20.304467683931083
SLDCFRCSP632,1#2,332.15,23.024116163701823
SLTCFRCJ4518,2#8,689.85,37.53720843486291
SWTCFRP58885,8#16,2664.5,20.2797602639971
SLDCFRFLA883,2#8,689.85,28.36732920857027
SWUCFRDIY651,4#32,2273.95,37.32909598331819
SLPAFRETR179,1#8,667.95,24.691792249455016
SLDCFRN02161,2#8,689.85,24.677113859896807
SWBCFRAKK185,4#16,1383.35,30.69267670769611
SLBCFRFBL763,1#2,332.15,20.547360943493665
SLPAFRETR0189,1#4,445.3,20.13755912708362
SLTCFRAJE543,1#8,667.95,28.512694876353976
SWBCFRNXHZN2763,2#4,470.85,26.71423394659767
SLPAFRETR163,1#16,1277.5,30.091656727609625
SLPAFRETR162,1#8,667.95,30.74690454027941
SLDCFRARQ616,1#4,445.3,23.250402589067896
SLDCFRFLA315,2#8,689.85,24.64148623312168
SLUCFRCJ4466,2#8,689.85,21.939625287943787
SLDCFRFLA091,2#8,689.85,25.328134163082854
SWUAFRQ75AP5,12#32,5286.66,25.36999427684794
SWUCFRU99817,8#24,3109.8,26.071225026226767
SLDCFRFLA666,2#8,689.85,23.89229756424039
SWPCFRBPE569,8#16,2664.5,35.14335402036793
SLPAFRETR180,1#8,667.95,26.65098257391161
SWPCFRAUH088,2#4,470.85,54.03100005737499
SWBCFRNXBDZ2906,4#16,1383.35,23.225806140615973
SLDCFRAJE251,1#24,1642.5,69.63666223820135
SLTCFROTD449,1#8,667.95,55.71687679175022
SLUCFRM31046,2#128,9657.5,34.15630021862839
SWPCFRCAY986,2#16,1135.15,47.467466337858475
SWTCFREDR207,4#8,916.15,40.86222885360032
SWUCFRDV3357,2#4,470.85,29.93137184503926
SLUCFRS68860,2#8,689.85,23.6828893257674
SWDCFRU99807,4#16,1383.35,20.577923884876284
SWPAFRETRADM17,2#8,689.85,21.939077617994105
SWDCFRU99500,4#8,916.15,24.1346764269153
SWPCFRDUS616,4#8,916.15,20.479197196485103
SWUCFRNXHZQ7282,2#4,470.85,21.10338401365469
SWPCFRBPE744,8#16,2664.5,35.05975512672278
SWUCFRQ75521,8#16,2664.5,42.17164788977819
SWBCFREGF518,2#8,689.85,20.992277088486023
SWDCFRDIE361,2#4,470.85,21.465057599751532
SLPCFRM29664,2#16,1135.15,86.01539839661757
SLDCFRFDC721,2#8,689.85,33.3694769669643
SLPAFRETR164,1#16,1277.5,22.936788259154312
SLTCFRSGB842,4#8,916.15,22.714733538751197
SLDCFRFLA043,2#8,689.85,24.70695832208759
SLBCFRTFP823,2#8,689.85,25.28211689924892
SLUCFRGY1326,2#8,689.85,22.658206639324906
SLBCFRPZM780,4#32,2273.95,30.789259541534097
SLDCFRFFC308,2#8,689.85,30.62237870992748
SLPAFRETR165,1#16,1277.5,26.803310471759715
